Ngày 11/19/2023:
   Keyword 'sam_altman_cha_đẻ_chatgpt': 0.08%
   Keyword 'm.': 0.08%
   Keyword 'u': 0.08%
   Keyword 'tin_đồn': 0.08%
   Keyword 'de_gea': 0.08%
   Keyword 'bruno_fernandes': 0.08%
   Keyword 'tây_á': 0.08%
   Keyword 'đội_tây_á': 0.08%
   Keyword 'thảm_thương': 0.08%
   Keyword 'tàu_cá_vùng_biển_phú_quý': 0.08%
   Keyword 'thành_tựu': 0.08%
   Keyword 'booktok': 0.08%
   Keyword 'tân_triều': 0.08%
   Keyword 'mitsubishi_xpander': 0.08%
   Keyword 'mazda': 0.08%
   Keyword 'iran': 0.08%
   Keyword 'đối_thủ_iran': 0.08%
   Keyword 'tranh_cãi_dữ_dội_quyết_định_btc': 0.08%
   Keyword 'hagl': 0.08%
   Keyword 'kpop': 0.08%
   Keyword 'yg': 0.08%
   Keyword 'hợp_đồng': 0.08%
   Keyword 'giới_hạn': 0.08%
   Keyword 'tuyển_thủ': 0.08%
   Keyword 'tương_lai_tuyển_thủ_bóng_chuyền_nữ_việt_nam': 0.08%
   Keyword 'hành_trình_sản_phẩm_việt': 0.08%
   Keyword 'group': 0.08%
   Keyword 'hoà_minzy': 0.08%
   Keyword 'tiền_truyện_the_hunger_games': 0.08%
   Keyword 'the_hunger_games': 0.08%
   Keyword 'cẩm_vân_khắc_triệu': 0.08%
   Keyword 'cece_trương': 0.08%
   Keyword 'liveshow': 0.08%
   Keyword 'công_ơn': 0.08%
   Keyword 'sứ_mệnh': 0.08%
   Keyword 'lễ_tạ': 0.08%
   Keyword 'loại_hình': 0.08%
   Keyword 'khơi': 0.08%
   Keyword 'điện_ảnh': 0.08%
   Keyword 'lhp_việt_nam': 0.08%
   Keyword 'cảm_hứng': 0.08%
   Keyword 'triển_lãm_đà_lạt_khơi': 0.08%
   Keyword 'tủ_sách': 0.08%
   Keyword 'tủ_sách_đặng_thuỳ_trâm': 0.08%
   Keyword 'đặng_thuỳ_trâm': 0.08%
   Keyword 'đông_sơn': 0.08%
   Keyword 'trưng_bày': 0.08%
   Keyword 'giám_thị': 0.08%
   Keyword 'hezbollah_nỗi': 0.08%
   Keyword 'truyền_hình': 0.08%
   Keyword 'văn_nghệ': 0.08%
   Keyword 'học_bổng': 0.08%
   Keyword 'căn_bệnh': 0.08%
   Keyword 'vận_hành': 0.08%
   Keyword 'nguội_xe_quá_tải_vận_hành': 0.08%
   Keyword 'luật_sư': 0.08%
   Keyword 'newjeans': 0.08%
   Keyword 'jungkook': 0.08%
   Keyword 'hybe': 0.08%
   Keyword 'học_ielts': 0.08%
   Keyword 'học_ielts_ktdc': 0.08%
   Keyword 'lan_toả': 0.08%
   Keyword 'củ_chi': 0.08%
   Keyword 'nước_biển': 0.08%
   Keyword 'cá_voi': 0.08%
   Keyword 'tổng_thống_brazil': 0.08%
   Keyword 'hình_sự': 0.08%
   Keyword 'tình_tiết': 0.08%
   Keyword 'nguyễn_phi_hùng_thành': 0.08%
   Keyword 'nhạc_sĩ_nguyễn_hà': 0.08%
   Keyword 'nguyễn_phương_điền': 0.08%
   Keyword 'nguyễn_hà': 0.08%
   Keyword 'đạo_diễn_nguyễn_phương_điền': 0.08%
   Keyword 'rapper': 0.08%
   Keyword 'wowy': 0.08%
   Keyword 'kts_ngô_viết_nam_sơn': 0.08%
   Keyword 'ngô_viết_nam_sơn': 0.08%
   Keyword 'nguồn_cội': 0.08%
   Keyword 'đạo_diễn_pháp': 0.08%
   Keyword 'khung': 0.08%
   Keyword 'tin_tức_giá_xe_kia_k5': 0.08%
   Keyword 'kia': 0.08%
   Keyword 'trâu': 0.08%
   Keyword 'thiếu_sót': 0.08%
   Keyword 'mekong': 0.08%
   Keyword 'cá_heo': 0.08%
   Keyword 'kim_yoo_jung': 0.08%
   Keyword 'bảo_bối': 0.08%
   Keyword 'robert_pattinson': 0.08%
   Keyword 'trương_triệu_huy': 0.08%
   Keyword 'phổ_thông': 0.08%
   Keyword 'thầy_giáo_gốc_việt': 0.08%
   Keyword 'duy_tân': 0.08%
   Keyword 'hội_nghị_p2a': 0.08%
   Keyword 'vietjet': 0.08%
   Keyword 'học_viện': 0.08%
   Keyword 'bước_tiến': 0.08%
   Keyword 'công_ty_châu_á': 0.08%
   Keyword 'mercedes': 0.08%
   Keyword 'xe_khách': 0.08%
   Keyword 'pajero_sport': 0.08%
   Keyword 'mitsubishi': 0.08%
   Keyword 'thanh_niên_miền_tây': 0.08%
   Keyword 'mâu_thuẫn': 0.08%
   Keyword 'đất_đai': 0.08%
   Keyword 'bí_thư_tỉnh_đoàn_yên_bái': 0.08%
   Keyword 'yên_bái': 0.08%
   Keyword 'tỉnh_đoàn': 0.08%
   Keyword 'ilya_sutskever': 0.08%
   Keyword 'nam_giới': 0.08%
   Keyword 'thủ_phạm': 0.08%
   Keyword 'liệu_pháp': 0.08%
   Keyword 'xanh': 0.08%
   Keyword 'người_dân_xanh': 0.08%
   Keyword 'vợ_chồng_philippines': 0.08%
   Keyword 'cá_rô_phi': 0.08%
   Keyword 'cơ_thể': 0.08%
   Keyword 'vô_tâm': 0.08%
   Keyword 'tàu_ngầm': 0.08%
   Keyword 'đồng_hồ': 0.08%
   Keyword 'cam_kết': 0.08%
   Keyword 'thứ_bảy': 0.08%
   Keyword 'djokovic_đối': 0.08%
   Keyword 'hlv_djokovic_sinner': 0.08%
   Keyword 'vnexpress': 0.08%
   Keyword 'jordan': 0.08%
   Keyword 'hlv_jordan_iraq': 0.08%
   Keyword 'tour': 0.08%
   Keyword 'amy_yang': 0.08%
   Keyword 'amy_yang_vô_địch_chung_kết_lpga_tour': 0.08%
   Keyword 'tiền_đạo_brazil': 0.08%
   Keyword 'đỉnh_núi_fansipan': 0.08%
   Keyword 'nguyễn_anh_trí_cần': 0.08%
   Keyword 'gs_nguyễn_anh_trí_cần': 0.08%
   Keyword 'tp_hcm': 0.08%
   Keyword 'thuế_tp_hcm': 0.08%
   Keyword 'tường_chợ_bến_thành': 0.08%
   Keyword 'kg_táo_đỏ_hàn_quốc': 0.08%
   Keyword 'chủ_tịch_hồ_chí_minh': 0.08%
   Keyword 'tiền': 0.08%
   Keyword 'cảm_xúc': 0.08%
   Keyword 'đời_sống': 0.08%
   Keyword 'quảng_bá': 0.08%
   Keyword 'cao_bằng': 0.08%
   Keyword 'nhà_trường': 0.08%
   Keyword 'toán_học': 0.08%
   Keyword 'vida_plus_chọn': 0.08%
   Keyword 'nọc_bọ_cạp_xanh_vida_plus_chọn': 0.08%
   Keyword 'bọ_cạp': 0.08%
   Keyword 'quốc_lộ': 0.08%
   Keyword 'bà_rịa_vũng_tàu': 0.08%
   Keyword 'tang_vật': 0.08%
   Keyword 'al_shifa': 0.08%
   Keyword 'tính_mạng': 0.08%
   Keyword 'công_du': 0.08%
   Keyword 'tổng_thống_hàn_quốc': 0.08%
   Keyword 'động_vật': 0.08%
   Keyword 'thanh_xuân': 0.08%
   Keyword 'ông_bà': 0.08%
   Keyword 'u80': 0.08%
   Keyword 'bánh': 0.08%
   Keyword 'trần_mạnh_khang': 0.08%
   Keyword 'mc_trần_mạnh_khang': 0.08%
   Keyword 'đại_sứ': 0.08%
   Keyword 'đại_sứ_chiến_dịch_bánh': 0.08%
   Keyword 'tam': 0.08%
   Keyword 'hạnh_phúc': 0.08%
   Keyword 'hàng_xóm': 0.08%
   Keyword 'ấn_tượng': 0.08%
   Keyword 'đỗ_thị_hà': 0.08%
   Keyword 'kim_oanh': 0.08%
   Keyword 'nsưt_kim_oanh': 0.08%
   Keyword 'lee_sun_kyun': 0.08%
   Keyword 'hiện_thực': 0.08%
   Keyword 'thanh_thiếu_niên': 0.08%
   Keyword 'lúng_túng': 0.08%
   Keyword 'hiến_pháp': 0.08%
   Keyword 'khủng_hoảng_hiến_pháp': 0.08%
   Keyword 'thiểu_số': 0.08%
   Keyword 'affirmative_action': 0.08%
   Keyword 'california': 0.08%
   Keyword 'súng_đại_học_california': 0.08%
   Keyword 'sinh_viên_gốc_việt': 0.08%
   Keyword 'dân_quân_houthi': 0.08%
   Keyword 'dân_quân': 0.08%
   Keyword 'ứng_cử_viên': 0.08%
   Keyword 'tạp_chí': 0.08%
   Keyword 'vịnh_hạ_long': 0.08%
   Keyword 'tạp_chí_mỹ': 0.08%
   Keyword 'biển_đông_liệu_việt_nam': 0.08%
   Keyword 'đông_liệu': 0.08%
   Keyword 'vụ_lưu_bình_nhưỡng': 0.08%
   Keyword 'vụ_vạn_thịnh_phát': 0.08%
   Keyword 'tiếng_nói': 0.08%
   Keyword 'sức_ép': 0.08%
   Keyword 'nhà_sáng_lập': 0.08%
   Keyword 'nhà_sáng_lập_openai': 0.08%
   Keyword 'hãng_chủ_chatgpt': 0.08%
   Keyword 'tàu': 0.08%
   Keyword 'hải_quân': 0.08%
   Keyword 'thủ_tướng_úc_tàu': 0.08%
   Keyword 'vụ_việc': 0.08%
   Keyword 'hải_quân_tq': 0.08%
   Keyword 'diện_mạo': 0.08%
   Keyword 'vạn_thịnh_phát_trưởng': 0.08%
   Keyword 'đại': 0.08%
   Keyword 'xe_tăng': 0.08%
   Keyword 'xe_tăng_israel': 0.08%
   Keyword 'bình_thuận': 0.08%
   Keyword 'đề_án': 0.08%
   Keyword 'giảng_võ': 0.08%
   Keyword 'lê': 0.08%
   Keyword 'thành_viên_ban_chỉ_đạo': 0.08%
   Keyword 'chỉ_đạo': 0.08%
   Keyword 'mỹ_thuận': 0.08%
   Keyword 'tai_nạn_giao_thông_cầu_mỹ_thuận': 0.08%
   Keyword 'kỷ_vật': 0.08%
   Keyword 'nhà_văn': 0.08%
   Keyword 'nhà_văn_nguyễn_thị_mỹ_dung': 0.08%
   Keyword 'da_liễu': 0.08%
   Keyword 'chuyên_khoa': 0.08%
   Keyword 'răng_hàm': 0.08%
   Keyword 'phòng_khám': 0.08%
   Keyword 'công_an_tp_hồ_chí_minh': 0.08%
   Keyword 'thuốc_lá': 0.08%
   Keyword 'tiến_độ': 0.08%
   Keyword 'cao_tốc': 0.08%
   Keyword 'cao_tốc_diễn_châubãi_vọt': 0.08%
   Keyword 'diễn_châubãi_vọt': 0.08%
   Keyword 'đường_cao_tốc': 0.08%
   Keyword 'đồng_văn': 0.08%
   Keyword 'kcn_đồng_văn': 0.08%
   Keyword 'giẽ_ninh_bình': 0.08%
   Keyword 'bảo_hiểm': 0.08%
   Keyword 'vốn_điều_lệ': 0.08%
   Keyword 'vốn_điều_lệ_bảo_hiểm': 0.08%
   Keyword 'sư_tử': 0.08%
   Keyword 'nhà_phát_triển': 0.08%
   Keyword 'giai_đoạn': 0.08%
   Keyword 'trắng': 0.08%
   Keyword 'quảng_trị': 0.08%
   Keyword 'cục_hải_quan': 0.08%
   Keyword 'tỉnh_quảng_trị': 0.08%
   Keyword 'bến_tre_công_tác': 0.08%
   Keyword 'trường_sa': 0.08%
   Keyword 'địa_phương_huyện_trường_sa': 0.08%
   Keyword 'nhân_lực': 0.08%
   Keyword 'đồng_hành': 0.08%
   Keyword 'đồng_hành_nhà_giáo': 0.08%
   Keyword 'việt_cộng': 0.08%
   Keyword 'san_francisco': 0.08%
   Keyword 'bang_hoa_kỳ': 0.08%
   Keyword 'việt_quốc_gia_liên': 0.08%
   Keyword 'việt_quốc_gia': 0.08%
   Keyword 'hội_nghị_apec_san_francisco': 0.08%
   Keyword 'vat': 0.08%
   Keyword 'quan_hệ_song_phương_việt_nam': 0.08%
   Keyword 'bình_dương_tuyên_dương': 0.08%
   Keyword 'tuyên_dương': 0.08%
   Keyword 'hoá_sinh': 0.08%
   Keyword 'australia_việt_nam': 0.08%
   Keyword 'romania': 0.08%
   Keyword 'hà_tĩnh': 0.08%
   Keyword 'chỉ_tiêu': 0.08%
   Keyword 'bầu_cử_tổng_thống_argentina_javier_milei': 0.08%
   Keyword 'javier_milei': 0.08%
   Keyword 'bầu_cử': 0.08%
   Keyword 'bí_thư_thành_uỷ_tp_hồ_chí_minh': 0.08%
   Keyword 'việt_nam_azerbaijan': 0.08%
   Keyword 'ngành_halal_việt_nam': 0.08%
   Keyword 'halal': 0.08%
   Keyword 'trần_quang_phương': 0.08%
   Keyword 'thống_đốc_tỉnh_tochigi': 0.08%
   Keyword 'chủ_tịch_quốc_hội_trần_quang_phương': 0.08%
   Keyword 'tochigi': 0.08%
   Keyword 'hạt_nhân_châu_âu': 0.08%
   Keyword 'di_vật': 0.08%
   Keyword 'liệt_sĩ': 0.08%
   Keyword 'nguyễn_mạnh_cường': 0.08%
   Keyword 'đồng_chí': 0.08%
   Keyword 'đồng_chí_nguyễn_mạnh_cường': 0.08%
   Keyword 'tinh_thần': 0.08%
   Keyword 'ý_chí': 0.08%
   Keyword 'trách_nhiệm': 0.08%
   Keyword 'nhiệm_kỳ': 0.08%
   Keyword 'nghị_quyết': 0.08%
   Keyword 'thực_vật': 0.08%
   Keyword 'tỷ_lệ': 0.08%
   Keyword 'dân_tộc_thiểu_số': 0.08%
   Keyword 'tân_cương_địch_lệ_nhiệt': 0.08%
   Keyword 'nghiêm_ngặt_tphcm': 0.08%
   Keyword 'hiền_mai': 0.08%
   Keyword 'quốc_tuấn': 0.08%
   Keyword 'nam_sinh': 0.08%
   Keyword 'vệ_sinh': 0.08%
   Keyword 'con_riêng': 0.08%
   Keyword 'cột_sống': 0.08%
   Keyword 'máy_điều_hoà': 0.08%
   Keyword 'không_khí': 0.08%
   Keyword 'đại_gia': 0.08%
   Keyword 'nghệ_thuật': 0.08%
   Keyword 'ams': 0.08%
   Keyword 'học_sinh_trường_ams': 0.08%
   Keyword 'long_an': 0.08%
   Keyword 'gái_long_an': 0.08%
   Keyword 'cháu_gái_trương_mỹ_lan': 0.08%
   Keyword 'binh_sĩ': 0.08%
   Keyword 'lính_đánh_thuê': 0.08%
   Keyword 'hàng_ngũ': 0.08%
   Keyword 'binh_sĩ_ukraine': 0.08%
   Keyword 'shin_tae_yong': 0.08%
   Keyword 'hlv_shin_tae_yong_indonesia': 0.08%
   Keyword 'park_hang_seo': 0.08%
   Keyword 'mano_polking': 0.08%
   Keyword 'hlv_mano_polking': 0.08%
   Keyword 'tân_sơn_nhất': 0.08%
   Keyword 'nữ_chú': 0.08%
   Keyword 'lý_nhã_kỳ': 0.08%
   Keyword 'phương_lan_nhà_nữ_chú': 0.08%
   Keyword 'thái_lanviệt_namlàocampuchiamyanmar': 0.08%
   Keyword 'kiều_bào': 0.08%
   Keyword 'thực_lực_đối_thủ_iraq_tảng': 0.08%
   Keyword 'thực_lực': 0.08%
   Keyword 'tảng': 0.08%
   Keyword 'trần_hoàng_ngân': 0.08%
   Keyword 'quân_khu': 0.08%
   Keyword 'bến_xe_tỉnh_bến_tre': 0.08%
   Keyword 'bến_xe': 0.08%
   Keyword 'đường_bay': 0.08%
   Keyword 'biểu_hiện': 0.08%
   Keyword 'du_lịch': 0.08%
   Keyword 'trí_thức': 0.08%
   Keyword 'tập_thể': 0.08%
   Keyword 'xuất_xứ': 0.08%
   Keyword 'đại_hội': 0.08%
   Keyword 'hiệp_hội': 0.08%
   Keyword 'đại_hội_đại_biểu_hiệp_hội_doanh_nghiệp_tỉnh_hà_giang': 0.08%
   Keyword 'kim_bảng': 0.08%
   Keyword 'nam_định': 0.08%
   Keyword 'quảng_bình': 0.08%
   Keyword 'đa_khoa': 0.08%
   Keyword 'bệnh_viện_đa_khoa_tư_nhân_quảng_ngãi': 0.08%
   Keyword 'quảng_ngãi': 0.08%
   Keyword 'công_suất': 0.08%
   Keyword 'tư_nhân': 0.08%
   Keyword 'anh_em': 0.08%
   Keyword 'quảng_yên': 0.08%
   Keyword 'công_an_quảng_yên': 0.08%
   Keyword 'thương_tích': 0.08%
   Keyword 'sơn_la': 0.08%
   Keyword 'sĩ_quan': 0.08%
   Keyword 'hmông': 0.08%
   Keyword 'quân_nhân': 0.08%
   Keyword 'tàng_trữ': 0.08%
   Keyword 'pháo_hoa': 0.08%
   Keyword 'vĩnh_phúc': 0.08%
   Keyword 'trần_phú': 0.08%
   Keyword 'hồng': 0.08%
   Keyword 'tuyến_xe_buýt_city_tour': 0.08%
   Keyword 'xe_buýt': 0.08%
   Keyword 'âm_mưu': 0.08%
   Keyword 'bóng_chuyền_nữ_ninh_bình_lpbank': 0.08%
   Keyword 'lpbank': 0.08%
   Keyword 'vô_địch_giải_vô_địch': 0.08%
   Keyword 'hoạt_hình': 0.08%
   Keyword 'wolfoo': 0.08%
   Keyword 'phạm_vi': 0.08%
   Keyword '3d': 0.08%
   Keyword 'hoạt_hình_wolfoo_3d_wolfoo_game_việt_nam': 0.08%
   Keyword 'wolfoo_game': 0.08%
   Keyword 'cố_đô': 0.08%
   Keyword 'kịp_thời': 0.08%
   Keyword 'chủ_tịch_uỷ_ban_nhân_dân_tỉnh_điện_biên': 0.08%
   Keyword 'uỷ_ban_nhân_dân': 0.08%
   Keyword 'tình_nguyện_viên': 0.08%
   Keyword 'tình_nguyện_viên_asean': 0.08%
   Keyword 'thiên_tai': 0.08%
   Keyword 'thiết_bị': 0.08%
   Keyword 'tuyên_quang': 0.08%
   Keyword 'báo_nhân_dân': 0.08%
   Keyword 'vùng_sâu': 0.08%
   Keyword 'vùng_xa': 0.08%
   Keyword 'nhân_dân': 0.08%
   Keyword 'phá_rào': 0.08%
   Keyword 'tài_liệu': 0.08%
   Keyword 'nhà_nước': 0.08%
   Keyword 'quy_định': 0.08%
   Keyword 'địa_bàn': 0.08%
   Keyword 'tôn_giáo': 0.08%
   Keyword 'lãnh_đạo_tỉnh_thừa_thiên_huế': 0.08%
   Keyword 'bàn_tay': 0.08%
   Keyword 'mục_tiêu_nga': 0.08%
   Keyword 'xạ_thủ': 0.08%
   Keyword 'mục_tiêu': 0.08%
   Keyword 'đường_hầm_hamas': 0.08%
   Keyword 'video': 0.08%
   Keyword 'texhong_hải_hà': 0.08%
   Keyword 'lùng_pủng': 0.08%
   Keyword 'một_triệu': 0.08%
   Keyword 'vùng_cao': 0.08%
   Keyword 'quân_hàm': 0.08%
   Keyword 'con_ruột': 0.08%
   Keyword 'sáng_kiến': 0.08%
   Keyword 'nguyễn_tất_thành': 0.08%
   Keyword 'bí_thư_thành_uỷ_tp._hcm': 0.08%
   Keyword 'về_nuôi': 0.08%
   Keyword 'triệu_chứng': 0.08%
   Keyword 'vi_khuẩn': 0.08%
   Keyword 'live_mất': 0.08%
   Keyword 'thần_kinh': 0.08%
   Keyword 'đái_tháo_đường': 0.08%
   Keyword 'đái_tháo_đường_đtđ': 0.08%
   Keyword 'saigontel': 0.08%
   Keyword 'liên_minh_xanh_saigontel': 0.08%
   Keyword 'căn_hộ_marriott': 0.08%
   Keyword 'saigon': 0.08%
   Keyword 'chủ_nhân': 0.08%
   Keyword 'marriott': 0.08%
   Keyword 'căn_hộ': 0.08%
   Keyword 'grand_marina': 0.08%
   Keyword 'ứng_dụng': 0.08%
   Keyword 'khách_hàng_hà_nội': 0.08%
   Keyword 'sự_kiện': 0.08%
   Keyword 'dr.': 0.08%
   Keyword 'danh_sách': 0.08%
   Keyword 'tín_đồ': 0.08%
   Keyword 'han_beauty_center': 0.08%
   Keyword 'dr._han_beauty_center': 0.08%
   Keyword 'tỉnh_thành': 0.08%
   Keyword 'vương_plaza': 0.08%
   Keyword 'dim_tu_tac_hùng': 0.08%
   Keyword 'sức_mua': 0.08%
   Keyword 'ai_cập': 0.08%
   Keyword 'hồng_hải': 0.08%
   Keyword 'căng_thẳng_dải_gaza': 0.08%
   Keyword 'cựu_đệ_phu_nhân_mỹ_rosalynn_carter': 0.08%
   Keyword 'quân_đội_ukraine': 0.08%
   Keyword 'cấu_trúc': 0.08%
   Keyword 'cha_đẻ_chatgpt': 0.08%
   Keyword 'quà_hlv_troussier': 0.08%
   Keyword 'shin_taeyong': 0.08%
   Keyword 'hlv_shin_taeyong': 0.08%
   Keyword 'bất_lợi_đội_tuyển_indonesia': 0.08%
   Keyword 'bất_lợi': 0.08%
   Keyword 'sân_mỹ_đình': 0.08%
   Keyword 'kính_lúp': 0.08%
   Keyword 'flycam_sân_mỹ_đình': 0.08%
   Keyword 'văn_quyết': 0.08%
   Keyword 'world_cup': 0.08%
   Keyword 'vòng_loại_world_cup': 0.08%
   Keyword 'đội_tuyển_thái_lan': 0.08%
   Keyword 'nhà_vô_địch_bóng_chuyền': 0.08%
   Keyword 'bộ_trưởng_tài_chính': 0.08%
   Keyword 'zalo_pháo': 0.08%
   Keyword 'trà_vinh': 0.08%
   Keyword 'nhân_viên_bệnh_viện_y_dược_cổ_truyền_trà_vinh': 0.08%
   Keyword 'csgt_tp._hcm': 0.08%
   Keyword 'rượu_bia': 0.08%
   Keyword 'tây_nam': 0.08%
   Keyword 'mạch_máu': 0.08%
   Keyword 'biển_đảo_tây_nam_mạch_máu_việt': 0.08%
   Keyword 'tiểu_thuyết': 0.08%
   Keyword 'đài': 0.08%
   Keyword 'cải_lương_đạo_diễn_pháp': 0.08%
   Keyword 'cải_lương': 0.08%
   Keyword 'khung_cảnh': 0.08%
   Keyword 'show': 0.08%
   Keyword 'poster': 0.08%
   Keyword 'nsnd_kim_xuân': 0.08%
   Keyword 'kim_xuân': 0.08%
   Keyword 'diễn_đàn_thanh_niên_chữ_thập_đỏ': 0.08%
   Keyword 'dương': 0.08%
   Keyword 'diễn_đàn': 0.08%
   Keyword 'thái_bình': 0.08%
   Keyword 'thuỳ_tiên': 0.08%
   Keyword 'girl_bóng_chuyền_nổi_tiếng_việt_nam': 0.08%
   Keyword 'quốc_tịch': 0.08%
   Keyword 'napoléon': 0.08%
   Keyword 'giải_bóng_chuyền_vđqg': 0.08%
   Keyword 'ntk_thạch_linh': 0.08%
   Keyword 'hình_ảnh_vải_thiều_thanh_hà': 0.08%
   Keyword 'thạch_linh': 0.08%
   Keyword 'man_city': 0.08%
   Keyword 'salah_cđv_man_city': 0.08%
   Keyword 'liên_tiếp_võ_sĩ_xe_ôm_nguyễn_trần_duy_nhất': 0.08%
   Keyword 'nguyễn_trần_duy_nhất': 0.08%
   Keyword 'xe_ôm': 0.08%
   Keyword 'kịch_tính_brazil': 0.08%
   Keyword 'kịch_tính': 0.08%
   Keyword 'samba': 0.08%
   Keyword 'sân_nhà': 0.08%
   Keyword 'báo_chí': 0.08%
   Keyword 'thời_đại': 0.08%
   Keyword 'số_một': 0.08%
   Keyword 'tiền_đạo_thời_đại_messi': 0.08%
   Keyword 'lđbđ_châu_á': 0.08%
   Keyword 'mc_mạnh_khang': 0.08%
   Keyword 'mạnh_khang': 0.08%
   Keyword 'phim_hàn_quốc': 0.08%
   Keyword 'báo_lao_động': 0.08%
   Keyword 'viên_tịch': 0.08%
   Keyword 'sai_lầm': 0.08%
   Keyword 'nghiêm_trọng': 0.08%
   Keyword 'nội_các': 0.08%
   Keyword 'huỳnh_như': 0.08%
   Keyword 'chấn_thương': 0.08%
   Keyword 'ngôn_ngữ': 0.08%
   Keyword 'hoa_hồng': 0.08%
   Keyword 'ký_hiệu': 0.08%
   Keyword 'phương_mỹ_chi': 0.08%
   Keyword 'người_bệnh': 0.08%
   Keyword 'hò_dô': 0.08%
   Keyword 'thu_minh': 0.08%
   Keyword 'văn_mai_hương': 0.08%
   Keyword 'trung_chuyển': 0.08%
   Keyword 'miền_trung_chuyển': 0.08%
   Keyword 'chính_trị': 0.08%
   Keyword 'đệ_phu_nhân_mỹ': 0.08%
   Keyword 'chi_phí': 0.08%
   Keyword 'subaru_forester': 0.08%
   Keyword 'động_cơ_trung_quốc': 0.08%
   Keyword 'động_cơ': 0.08%
   Keyword 'camry': 0.08%
   Keyword 'xe_mclaren_f1': 0.08%
   Keyword 'mclaren': 0.08%
   Keyword 'sự_thật': 0.08%
   Keyword 'tình_yêu': 0.08%
   Keyword 'đầu_hội_chợ_giáng_sinh': 0.08%
   Keyword 'huỳnh_anh_tuấn': 0.08%
   Keyword 'phong_độ': 0.08%
   Keyword 'miu_lê': 0.08%
   Keyword 'mái_trường': 0.08%
   Keyword 'nữ': 0.08%
   Keyword 'đám_cưới': 0.08%
   Keyword 'máy_tính': 0.08%
   Keyword 'spacex': 0.08%
   Keyword 'sao_hoả': 0.08%
   Keyword 'tàu_sao_hoả_spacex': 0.08%
   Keyword 'vật_thể': 0.08%
   Keyword 'tự_nhiên': 0.08%
   Keyword 'chó_sói': 0.08%
   Keyword 'kho_bạc': 0.08%
   Keyword 'nhà_đầu_tư': 0.08%
   Keyword 'hdbank': 0.08%
   Keyword 'tổng_giám_đốc_hdbank': 0.08%
   Keyword 'trái_phiếu': 0.08%
   Keyword 'siêu_thị': 0.08%
   Keyword 'lòng_đường': 0.08%
   Keyword 'cửa_hàng': 0.08%
   Keyword 'sam_altman_tôi': 0.08%
   Keyword 'nhân_viên_openai': 0.08%
   Keyword 'chỉnh_hình': 0.08%
   Keyword 'bệnh_viện_tuyến_chỉnh_hình_tp_hcm': 0.08%
   Keyword 'trí_óc': 0.08%
   Keyword 'mộng_du': 0.08%
   Keyword 'ác_tính': 0.08%
   Keyword 'cổ_tay': 0.08%
   Keyword 'giấc_ngủ': 0.08%
   Keyword 'phương_hướng': 0.08%
   Keyword 'bảo_mẫu': 0.08%
   Keyword 'g20': 0.08%
   Keyword 'thượng_đỉnh': 0.08%
   Keyword 'đệ_phu_nhân_pháp_macron': 0.08%
   Keyword 'macron': 0.08%
   Keyword 'sonar': 0.08%
   Keyword 'xã_hội_israel': 0.08%
   Keyword 'bakhmut': 0.08%
   Keyword 'hlv_polking_sa': 0.08%
   Keyword 'singapore': 0.08%
   Keyword 'polking_sa': 0.08%
   Keyword 'sân_chơi': 0.08%
   Keyword 'vnexpress_marathon_hanoi_midnight': 0.08%
   Keyword 'tuyển_việt_nam': 0.08%
   Keyword 'federer': 0.08%
   Keyword 'danh_hiệu': 0.08%
   Keyword 'djokovic_kém_federer': 0.08%
   Keyword 'động_lực': 0.08%
   Keyword 'cầu_thủ_iraq': 0.08%
   Keyword 'lê_minh_hoan_tìm': 0.08%
   Keyword 'bộ_trưởng_lê_minh_hoan_tìm': 0.08%
   Keyword 'bùi_hoàng_phương': 0.08%
   Keyword 'virus': 0.08%
   Keyword 'trẻ_vị_thành_niên_việt_nam': 0.08%
   Keyword 'máy_chiếu': 0.08%
   Keyword 'tiêu_chuẩn': 0.08%
   Keyword 'trăng_xanh': 0.08%
   Keyword 'tử_tế_trăng_xanh': 0.08%
   Keyword 'marie_curie': 0.08%
   Keyword 'trường_thpt_marie_curie_tp_hồ_chí_minh': 0.08%
   Keyword 'tín_dụng': 0.08%
   Keyword 'thành_phố_châu_âu': 0.08%
   Keyword 'airbnb': 0.08%
   Keyword 'tôn_vinh': 0.08%
   Keyword 'powerlist_vietnam': 0.08%
   Keyword 'gc_powerlist_vietnam': 0.08%
   Keyword 'tập_đoàn': 0.08%
   Keyword 'cá_sấu': 0.08%
   Keyword 'chủ_nợ': 0.08%
   Keyword 'tử_vong': 0.08%
   Keyword 'phú_yên': 0.08%
   Keyword 'thủ_đoạn': 0.08%
   Keyword 'thương_lái': 0.08%
   Keyword 'bệnh_viện_k_trung_ương': 0.08%
   Keyword 'tội_phạm': 0.08%
   Keyword 'morocco': 0.08%
   Keyword 'cách_mạng': 0.08%
   Keyword 'rác_thải': 0.08%
   Keyword 'hiệp_ước': 0.08%
   Keyword 'ngư_dân_tàu_cá_bình_định': 0.08%
   Keyword 'quả_tang': 0.08%
   Keyword 'máy_xúc': 0.08%
   Keyword 'hệ_miễn_dịch': 0.08%
   Keyword 'tuyến_city_tour': 0.08%
   Keyword 'phúc_thẩm': 0.08%
   Keyword 'phúc_thẩm_d._c': 0.08%
   Keyword 'jimmy_carter': 0.08%
   Keyword 'rosalynn_carter_trump': 0.08%
   Keyword 'nhạo_báng': 0.08%
